MarketCode,ClassificationId,WholesalesFactorNY,WholesalesFactorOY
USNA,51828,0.793113723,0.645385681
USNA,51831,0.834309367,0.269769245
USNA,51833,0.810229584,0.428005103
USNA,51878,0.742353637,0.608683112
USNA,51880,0.742353637,0.1
USNA,51888,0.743108517,0.1
USNA,51890,0.742353637,0.245791567
USNA,51918,0.8126799,0.374318299
USNA,51962,0.820510857,0.463665516
USNA,51974,0.814948759,0.284018326
USNA,51992,0.95,0.463665516
USNA,51994,0.69157806,0.463665516
USNA,52225,0.750799433,0.310733869
USNA,52228,0.95,0.444637775
USNA,52231,0.841457544,0.196459655
USNA,52259,0.940775392,0.444637775
USNA,53585,0.852006963,0.353487101
USNA,53590,0.799291648,0.467313402
USNA,53592,0.73371708,0.310867334
USNA,53594,0.95,0.353487101
USNA,53702,0.95,0.490046423
USNA,53704,0.95,0.500167758
USNA,53707,0.889101723,0.375838282
USNA,53715,0.95,0.490046423
USNA,64306,0.81164748,0.426807088
USNA,66689,0.62243959,0.783790488
USNA,66690,0.770006383,0.469018461
USNA,66822,0.735802907,0.312057106
USNA,66823,0.95,0.490046423
USNA,66824,0.669461321,0.298059015
USNA,66825,0.775595167,0.426807088
USNA,66826,0.903631322,0.57358449
USNA,66827,0.763931214,0.426807088
USNA,66828,0.763931214,0.426807088
USNA,66829,0.713726744,0.688369938
USNA,66830,0.717394267,0.426807088
USNA,66831,0.780889675,0.95
USNA,67243,0.820510857,0.463665516
USNA,67431,0.699657736,0.553817939
USNA,68584,0.561047984,0.84498171
USNA,70282,0.820510857,0.463665516
USNA,71815,0.890293052,0.426807088
USNA,71816,0.943590626,0.426807088
USNA,71819,0.604354178,0.224193064
USNA,72115,0.81164748,0.56948787
USNA,74707,0.773995087,0.95
USNA,80088,0.62243959,0.783790488
USNA,80130,0.62243959,0.783790488
USNA,80131,0.81164748,0.426807088
USNA,80550,0.525390887,0.426807088
USNA,80793,0.814948759,0.284018326
USNA,81132,0.95,0.531944923
USNA,81848,0.793113723,0.645385681
USNA,81849,0.810229584,0.428005103
USNA,81854,0.95,0.463665516
USNA,82185,0.604354178,0.224193064
USNA,82188,0.936845742,0.46280663
USNA,82357,0.95,0.426807088
USNA,83858,0.81164748,0.426807088
USNA,83859,0.81164748,0.426807088
USNA,83860,0.81164748,0.426807088
USNA,83861,0.81164748,0.426807088
USNA,83862,0.81164748,0.426807088
USNA,83863,0.81164748,0.426807088
USNA,83864,0.81164748,0.633841479
USNA,83865,0.81164748,0.681617134
USNA,83866,0.1,0.1
USNA,83867,0.753149748,0.426807088
USNA,83868,0.81164748,0.240283473
USNA,83869,0.81164748,0.476773354
USNA,83916,0.781231433,0.666297393
USNA,84190,0.875258412,0.360238556
USNA,84191,0.95,0.254935491
USNA,84552,0.259207253,0.1
USNA,84627,0.713726744,0.688369938
USNA,85475,0.903631322,0.57358449
USNA,85670,0.709226354,0.32205142
USNA,85671,0.709226354,0.32205142
USNA,85972,0.617405705,0.300527232
USNA,85973,0.680618248,0.430930622
USNA,85975,0.713726744,0.688369938
USNA,85980,0.617405705,0.300527232
USNA,86210,0.751663422,0.426807088
USNA,86216,0.780889675,0.804478689
USNA,86617,0.773995087,0.95
USNA,87609,0.95,0.514858827
USNA,87621,0.662352758,0.84498171
USNA,87622,0.662352758,0.84498171
USNA,87624,0.561047984,0.84498171
USNA,87943,0.796189506,0.782849873
USNA,88171,0.662352758,0.84498171
USNA,90304,0.516400859,0.224193064
USNA,90454,0.81164748,0.426807088
USNA,90455,0.81164748,0.426807088
USNA,90456,0.81164748,0.426807088
USNA,90457,0.924017928,0.426807088
USNA,90458,0.917611769,0.1
USNA,90459,0.81164748,0.426807088
USNA,90460,0.931836962,0.1
USNA,92153,0.830125498,0.155861381
USNA,92828,0.875258412,0.360238556
USNA,92833,0.81164748,0.56948787
USNA,93323,0.9471333,0.555481554
USNA,93326,0.875258412,0.537720273
USNA,93328,0.95,0.1
USNA,93339,0.95,0.1
USNA,93368,0.875258412,0.449387898
USNA,97883,0.95,0.426807088
USNA,101010,0.95,0.514858827
USNA,101018,0.884700676,0.428005103
USNA,101019,0.713726744,0.688369938
USNA,101021,0.884700676,0.428005103
USNA,101022,0.742353637,0.245791567
USNA,101023,0.742353637,0.245791567
USNA,101024,0.709226354,0.32205142
USNA,101026,0.820510857,0.463665516
USNA,101028,0.780889675,0.804478689
USNA,101030,0.780889675,0.804478689
USNA,101031,0.854197558,0.337661218
USNA,101032,0.854197558,0.337661218
USNA,101035,0.745830326,0.429472497
USNA,101036,0.900035431,0.491386334
USNA,101037,0.900035431,0.491386334
USNA,101040,0.668563896,0.298160901
USNA,101041,0.668563896,0.298160901
USNA,101042,0.81164748,0.56948787
USNA,101043,0.795406916,0.353487101
USNA,101044,0.95,0.490046423
USNA,101045,0.709226354,0.32205142
USNA,101317,0.834309367,0.269769245
USNA,101318,0.793113723,0.645385681
